drift_mode,strategy,anchor_fraction,window_batches,mean_accuracy,mean_f1,worst_f1,max_f1_drop_from_batch1,degradation_area_f1,post_retrain_avg_f1,mean_recovery_gain_next_batch_f1,retrain_count,concept_drift_batches,drift_alert_batches,total_retrain_time,total_inference_time,mean_f1_gain_vs_static
clean_temporal,Static,0.0,3,0.79705,0.7248271413091475,0.7060969254820219,0.0443265640719025,0.3071561789373217,0.0,0.0,0,0,11,0.0,1.6481668949127197,0.0
clean_temporal,Policy-CurrentAnchor,0.1,3,0.8066166666666668,0.7274022752543271,0.7105639851130833,0.039859504440841076,0.27625457159516564,0.725175495975957,0.00016096981637103713,5,0,11,15.681743860244751,0.621018648147583,0.0025751339451796085
clean_temporal,Policy-SlidingNoAnchor,0.0,3,0.7962166666666666,0.7179633508490172,0.7010428736964078,0.04938061585751652,0.3895216644588859,0.7113711121292765,0.005116318936987585,5,0,11,8.495362997055054,0.5648114681243896,-0.0068637904601303035
covariate_feature_shift,Static,0.0,3,0.7666666666666666,0.7155351051738047,0.6534877153346512,0.09693577421927313,0.42458908877376045,0.0,0.0,0,1,11,0.0,1.3295259475708008,0.0
covariate_feature_shift,Policy-CurrentAnchor,0.1,3,0.7881,0.7235921050197899,0.6534877153346512,0.09693577421927313,0.3229866825719685,0.7125784339722487,0.012278668753521549,5,1,11,14.763106107711792,0.5597114562988281,0.00805699984598518
covariate_feature_shift,Policy-SlidingNoAnchor,0.0,3,0.7825666666666665,0.7053825378086711,0.6418161434977578,0.10860734605616651,0.5404914209430403,0.6984990685879028,-0.003265561784472193,5,2,11,4.42176628112793,0.3348093032836914,-0.010152567365133591
label_flip_only,Static,0.0,3,0.7724666666666667,0.6906225507698149,0.6412849494348603,0.1091385401190641,0.7176112654093136,0.0,0.0,0,5,11,0.0,0.5840065479278564,0.0
label_flip_only,Policy-CurrentAnchor,0.1,3,0.7804333333333333,0.6874020446790828,0.6322388059701493,0.1181846835837751,0.7562573384980968,0.6931854901990926,-0.03185957201048641,5,6,10,8.691518068313599,0.39112186431884766,-0.0032205060907321004
label_flip_only,Policy-SlidingNoAnchor,0.0,3,0.7715666666666667,0.6817257073362736,0.6314863676341249,0.11893712191979944,0.8243733866118105,0.686537307549948,-0.032186416334940085,5,2,11,4.4004974365234375,0.3525714874267578,-0.008896843433541357
full_with_label_flips,Static,0.0,3,0.7327166666666667,0.6677757963667162,0.584192439862543,0.16623104969138136,0.9917723182464969,0.0,0.0,0,8,11,0.0,0.5731785297393799,0.0
full_with_label_flips,Policy-CurrentAnchor,0.1,3,0.7477,0.6650649151086147,0.5550960836779373,0.19532740587598707,1.024302893343717,0.6656496161898968,-0.034328951468595714,5,7,10,8.803431749343872,0.43506884574890137,-0.002710881258101594
full_with_label_flips,Policy-SlidingNoAnchor,0.0,3,0.7405833333333334,0.6432427646254709,0.5387306346826587,0.21169285487126566,1.2861686991414398,0.6435530415050967,-0.04250896325854001,5,4,11,4.508762836456299,0.3563244342803955,-0.024533031741245326
