,2016_only,2017_2018_only,2017_2018_plus_10pct_2016_anchor,2016_2018_expanding
AGEP,0.11102085,0.11553654,0.12701486,0.12056866
WKHP,0.18101361,0.19323868,0.19746621,0.19536446
COW,0.029619828,0.026470935,0.027583381,0.026979627
SCHL,0.24426928,0.24156938,0.25013098,0.23570509
MAR,0.05148269,0.046060488,0.04970345,0.04868199
OCCP,0.06487964,0.059025235,0.061989244,0.06024973
POBP,0.018820267,0.019022774,0.019390304,0.020533001
RELP,0.13225062,0.1504408,0.12251019,0.14402302
SEX,0.14750662,0.13099155,0.12635748,0.13097218
RAC1P,0.019136509,0.01764371,0.01785392,0.016922215
